"Part";"Value";"Device";"Package";"Description";"AVAILABILITY";"DESCRIPTION";"DIELECTRIC";"MANUFACTURER";"MF";"MP";"PACKAGE";"PART_NO";"PRICE";"SUPPLIER";"TOLERANCE";"VALUE";"VOLTAGE";
"C1";"100n";"SMD-NP0603-100N-H";"0603_CAP";"General usage non-polarized capacitors.";"";"";"X7R";"YAGEO";"";"";"";"CC0603KRX7R9BB104";"";"MOUSER";"10%";"100n";"50V";
"C2";"1u";"SMD-NP0603-1U-H";"0603_CAP";"General usage non-polarized capacitors.";"";"";"X5R";"YAGEO";"";"";"";"CC0603KRX5R9BB105";"";"MOUSER";"10%";"1u";"50V";
"C3";"100n";"SMD-NP0603-100N-H";"0603_CAP";"General usage non-polarized capacitors.";"";"";"X7R";"YAGEO";"";"";"";"CC0603KRX7R9BB104";"";"MOUSER";"10%";"100n";"50V";
"C4";"1u";"SMD-NP0603-1U-H";"0603_CAP";"General usage non-polarized capacitors.";"";"";"X5R";"YAGEO";"";"";"";"CC0603KRX5R9BB105";"";"MOUSER";"10%";"1u";"50V";
"C5";"100n";"SMD-NP0603-100N-H";"0603_CAP";"General usage non-polarized capacitors.";"";"";"X7R";"YAGEO";"";"";"";"CC0603KRX7R9BB104";"";"MOUSER";"10%";"100n";"50V";
"C7";"100n";"SMD-NP0603-100N-H";"0603_CAP";"General usage non-polarized capacitors.";"";"";"X7R";"YAGEO";"";"";"";"CC0603KRX7R9BB104";"";"MOUSER";"10%";"100n";"50V";
"C8";"100n";"SMD-NP0603-100N-H";"0603_CAP";"General usage non-polarized capacitors.";"";"";"X7R";"YAGEO";"";"";"";"CC0603KRX7R9BB104";"";"MOUSER";"10%";"100n";"50V";
"D1";"1N4148";"1N4148";"SOD-323";"Fast Switching Diode";"";"";"";"MICRO COMMERCIAL COMPONENTS";"";"";"";"1N4148WX-TP";"";"MOUSER";"";"1N4148";"";
"D2";"LED0603";"LED0603";"CHIPLED_0603";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"D3";"PMEG4005EJ";"DIODE-SCHOTTKY-PMEG4005EJ";"SOD-323";"Schottky diodes in SFE's production catalog";"";"";"";"";"";"";"";"PMEG4005EJ,115";"";"Mouser";"";"PMEG4005EJ";"";
"D4";"10V";"DIODE-ZENER10V";"SOD-323";"Zener Diode";"";"";"";"";"";"";"";"MM3Z10VST1G";"";"MOUSER";"";"";"";
"D5";"PMEG4005EJ";"DIODE-SCHOTTKY-PMEG4005EJ";"SOD-323";"Schottky diodes in SFE's production catalog";"";"";"";"";"";"";"";"PMEG4005EJ,115";"";"Mouser";"";"PMEG4005EJ";"";
"D6";"PMEG4005EJ";"DIODE-SCHOTTKY-PMEG4005EJ";"SOD-323";"Schottky diodes in SFE's production catalog";"";"";"";"";"";"";"";"PMEG4005EJ,115";"";"Mouser";"";"PMEG4005EJ";"";
"FD1";"FIDUCIALROUND_1MM";"FIDUCIALROUND_1MM";"FIDUCIAL_ROUND_1MM";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"FD2";"FIDUCIALROUND_1MM";"FIDUCIALROUND_1MM";"FIDUCIAL_ROUND_1MM";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"FD3";"FIDUCIALROUND_1MM";"FIDUCIALROUND_1MM";"FIDUCIAL_ROUND_1MM";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"IC1";"7414D";"7414D";"SO14";"Hex schmitt trigger INVERTER";"";"";"";"";"";"";"";"";"";"";"";"";"";
"IC2";"7414D";"7414D";"SO14";"Hex schmitt trigger INVERTER";"";"";"";"";"";"";"";"";"";"";"";"";"";
"J11";"2.1mm";"DCSMT";"DCJACK_2MM_SMT";"DC Jack";"";"";"";"TENSILITY INTERNATIONAL CORP";"";"";"";"54-00164";"";"DIGIKEY";"";"2.1mm";"";
"J12";"";"USB_TYPE-C_2.0";"12402012E212A";"JAE DX07S024JJ2 USB Type-C Connector";"";"";"";"AMPHENOL";"";"";"";"12402012E212A";"";"MOUSER";"";"";"";
"J13";"TRS-TIP-SW";"TRS-TIP-SW";"PJ-327C-4A";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"J14";"TRS-TIP-SW";"TRS-TIP-SW";"PJ-327C-4A";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"J15";"TRS-TIP-SW";"TRS-TIP-SW";"PJ-327C-4A";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"J16";"TRS-TIP-SW";"TRS-TIP-SW";"PJ-327C-4A";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"J17";"TRS-TIP-SW";"TRS-TIP-SW";"PJ-327C-4A";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"J18";"TRS-TIP-SW";"TRS-TIP-SW";"PJ-327C-4A";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"J19";"TRS-TIP-SW";"TRS-TIP-SW";"PJ-327C-4A";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"J20";"TRS-TIP-SW";"TRS-TIP-SW";"PJ-327C-4A";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"J21";"TRS-TIP-SW";"TRS-TIP-SW";"PJ-327C-4A";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"J22";"TRS-TIP-SW";"TRS-TIP-SW";"PJ-327C-4A";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"MP1";"SCREW-FASTENER3";"SCREW-FASTENER3";"M3-PANHEAD-VIA";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"MP2";"SCREW-FASTENER3";"SCREW-FASTENER3";"M3-PANHEAD-VIA";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
